,URL,Count,Percentage,Cumsum
0,researchgate.net,55861,10.759114555746663,10.759114555746663
1,academia.edu,30304,5.836705527959523,16.595820083706187
2,en.wikipedia.org,20759,3.998289666542757,20.594109750248943
3,ncbi.nlm.nih.gov,20578,3.9634281399931046,24.55753789024205
4,sciencedirect.com,14806,2.8517113927853974,27.409249283027446
5,gbif.org,11113,2.1404206881010484,29.549669971128495
6,plants.jstor.org,9878,1.9025533660633631,31.452223337191857
7,archive.org,9828,1.8929231101104207,33.34514644730228
8,bioone.org,8223,1.5837918940209594,34.92893834132324
9,scribd.com,7327,1.4112177073442258,36.34015604866747
10,sv.wikipedia.org,7005,1.3491988590072748,37.68935490767474
11,duckduckgo.com,6425,1.2374878899531392,38.92684279762788
12,ipni.org,6178,1.1899144255456022,40.11675722317348
13,jstor.org,5578,1.0743513541102896,41.19110857728377
14,ar.wikipedia.org,5418,1.043534535060873,42.23464311234464
15,link.springer.com,4830,0.9302827250542665,43.16492583739891
16,letsplant.org,4566,0.8794349736227289,44.04436081102164
17,eol.org,4313,0.8307058785008388,44.87506668952248
18,commons.wikimedia.org,4285,0.8253129351671908,45.70037962468967
19,vi.wikipedia.org,4124,0.7943035109987152,46.49468313568838
